,t(fs),t(au),Field(t),Apot(t)
1650,4.953063335839061,204.7664404,0.0003961237689,0.006183567279
1651,4.960683433449995,205.0814657,0.0003950198697,0.006058945448
1652,4.968303531060931,205.396491,0.0003936652847,0.005934711103
1653,4.9759236286718656,205.7115163,0.0003920692116,0.005810941763
1654,4.9835437262828,206.0265416,0.000390240753,0.005687712068
1655,4.991163823893736,206.3415669,0.0003881889118,0.005565093805
1656,4.99878392150467,206.6565922,0.0003859225872,0.005443155939
1657,5.006404019115606,206.9716175,0.0003834505707,0.005321964652
1658,5.014024114307656,207.2866427,0.0003807815426,0.00520158337
1659,5.0216442119185905,207.601668,0.0003779240678,0.005082072806
1660,5.029264309529526,207.9166933,0.0003748865934,0.004963490991
1661,5.036884407140461,208.2317186,0.0003716774444,0.004845893315
1662,5.044504504751396,208.5467439,0.0003683048215,0.004729332565
1663,5.052124602362331,208.8617692,0.0003647767981,0.004613858964
1664,5.059744699973266,209.1767945,0.0003611013173,0.004499520213
1665,5.067364797584201,209.4918198,0.0003572861894,0.004386361531
1666,5.074984895195136,209.8068451,0.0003533390902,0.004274425698
1667,5.082604992806071,210.1218704,0.0003492675579,0.004163753096
1668,5.0902250904170065,210.4368957,0.0003450789919,0.004054381757
1669,5.097845188027941,210.751921,0.0003407806506,0.003946347402
1670,5.105465285638876,211.0669463,0.0003363796495,0.003839683489
1671,5.113085383249811,211.3819716,0.0003318829602,0.003734421255
1672,5.120705478441861,211.6969968,0.0003272974087,0.003630589766
1673,5.128325576052797,212.0120221,0.0003226296742,0.00352821596
1674,5.1359456736637314,212.3270474,0.0003178862881,0.003427324694
1675,5.143565771274667,212.6420727,0.000313073633,0.003327938791
1676,5.151185868885602,212.957098,0.0003081979423,0.003230079087
1677,5.158805966496536,213.2721233,0.000303265299,0.003133764477
1678,5.166426064107472,213.5871486,0.0002982816355,0.003039011965
1679,5.174046161718406,213.9021739,0.0002932527335,0.002945836708
1680,5.181666259329342,214.2171992,0.0002881842232,0.002854252067
1681,5.1892863569402765,214.5322245,0.0002830815838,0.002764269652
1682,5.196906454551211,214.8472498,0.0002779501432,0.002675899373
1683,5.204526552162146,215.1622751,0.0002727950782,0.002589149482
1684,5.212146649773081,215.4773004,0.0002676214148,0.002504026627
1685,5.219766747384016,215.7923257,0.0002624340288,0.002420535893
1686,5.227386842576067,216.1073509,0.000257237646,0.002338680857
1687,5.235006940187002,216.4223762,0.000252036843,0.002258463627
1688,5.242627037797937,216.7374015,0.0002468360478,0.002179884895
1689,5.2502471354088724,217.0524268,0.000241639541,0.00210294398
1690,5.257867233019807,217.3674521,0.0002364514562,0.002027638876
1691,5.265487330630743,217.6824774,0.0002312757816,0.001953966298
1692,5.273107428241677,217.9975027,0.0002261163605,0.001881921727
1693,5.280727525852612,218.312528,0.0002209768933,0.001811499457
1694,5.2883476234635465,218.6275533,0.000215860938,0.001742692637
1695,5.295967721074482,218.9425786,0.0002107719121,0.001675493318
1696,5.303587818685417,219.2576039,0.000205713094,0.001609892497
1697,5.311207916296352,219.5726292,0.0002006876245,0.00154588016
1698,5.318828013907287,219.8876545,0.0001956985084,0.001483445324
1699,5.326448111518221,220.2026798,0.0001907486161,0.001422576081
1700,5.334068206710272,220.517705,0.0001858406857,0.00136325964
1701,5.341688304321208,220.8327303,0.0001809773244,0.001305482368
1702,5.349308401932142,221.1477556,0.0001761610107,0.00124922983
1703,5.356928499543078,221.4627809,0.0001713940963,0.001194486832
1704,5.364548597154012,221.7778062,0.0001666788079,0.001141237457
1705,5.372168694764947,222.0928315,0.0001620172495,0.001089465109
1706,5.379788792375882,222.4078568,0.0001574114045,0.001039152544
1707,5.387408889986817,222.7228821,0.0001528631374,0.0009902819145
1708,5.395028987597752,223.0379074,0.0001483741966,0.0009428348042
1709,5.4026490852086875,223.3529327,0.0001439462164,0.0008967922632
1710,5.410269182819622,223.667958,0.0001395807189,0.0008521348447
1711,5.417889280430558,223.9829833,0.000135279117,0.0008088426395
1712,5.425509378041492,224.2980086,0.000131042716,0.0007668953107
1713,5.433129475652428,224.6130339,0.0001268727165,0.0007262721265
1714,5.440749573263362,224.9280592,0.0001227702165,0.000686951993
1715,5.448369668455412,225.2430844,0.0001187362136,0.0006489134865
1716,5.455989766066348,225.5581097,0.0001147716081,0.0006121348844
1717,5.4636098636772825,225.873135,0.0001108772047,0.0005765941954
1718,5.471229961288218,226.1881603,0.0001070537153,0.0005422691897
1719,5.478850058899153,226.5031856,0.0001033017613,0.0005091374273
1720,5.486470156510088,226.8182109,9.962187635e-05,0.0004771762863
1721,5.494090254121023,227.1332362,9.601450848e-05,0.0004463629905
1722,5.501710351731957,227.4482615,9.248002272e-05,0.0004166746355
1723,5.509330449342893,227.7632868,8.901870358e-05,0.0003880882147
1724,5.516950546953828,228.0783121,8.563075748e-05,0.0003605806441
1725,5.524570644564763,228.3933374,8.231631522e-05,0.000334128787
1726,5.532190742175698,228.7083627,7.907543449e-05,0.0003087094767
1727,5.539810839786633,229.023388,7.590810222e-05,0.0002842995397
1728,5.547430937397568,229.3384133,7.281423715e-05,0.0002608758175
1729,5.555051032589618,229.6534385,6.979369213e-05,0.0002384151875
1730,5.562671130200553,229.9684638,6.684625662e-05,0.0002168945835
1731,5.570291227811488,230.2834891,6.397165907e-05,0.0001962910155
1732,5.5779113254224235,230.5985144,6.116956927e-05,0.0001765815881
1733,5.585531423033358,230.9135397,5.843960075e-05,0.000157743519
1734,5.593151520644294,231.228565,5.578131308e-05,0.0001397541562
1735,5.600771618255228,231.5435903,5.319421423e-05,0.0001225909944
1736,5.608391715866164,231.8586156,5.067776283e-05,0.0001062316916
1737,5.616011813477098,232.1736409,4.823137043e-05,9.065408335e-05
1738,5.623631911088034,232.4886662,4.585440377e-05,7.583619796e-05
1739,5.631252008698969,232.8036915,4.354618697e-05,6.175626993e-05
1740,5.638872106309903,233.1187168,4.13060037e-05,4.839275312e-05
1741,5.646492203920838,233.4337421,3.913309934e-05,3.572433312e-05
1742,5.654112301531773,233.7487674,3.70266831e-05,2.372993902e-05
1743,5.661732396723824,234.0637926,3.498593009e-05,1.238875443e-05
1744,5.669352494334759,234.3788179,3.300998338e-05,1.680227954e-06
1745,5.6769725919456935,234.6938432,3.109795597e-05,-8.415917096e-06
1746,5.684592689556629,235.0088685,2.924893284e-05,-1.79196735e-05
1747,5.692212787167564,235.3238938,2.746197282e-05,-2.68507416e-05
1748,5.699832884778499,235.6389191,2.573611052e-05,-3.522852142e-05
1749,5.707452982389434,235.9539444,2.407035816e-05,-4.307210524e-05
1750,5.715073080000369,236.2689697,2.246370744e-05,-5.040027091e-05
1751,5.722693177611303,236.583995,2.091513128e-05,-5.723147565e-05
1752,5.7303132752222385,236.8990203,1.942358556e-05,-6.358385036e-05
1753,5.737933372833173,237.2140456,1.798801085e-05,-6.947519459e-05
1754,5.745553470444109,237.5290709,1.6607334e-05,-7.492297191e-05
1755,5.753173568055043,237.8440962,1.528046985e-05,-7.994430593e-05
1756,5.760793665665979,238.1591215,1.400632269e-05,-8.455597665e-05
1757,5.76841376085803,238.4741467,1.278378788e-05,-8.87744175e-05
1758,5.776033858468964,238.789172,1.161175327e-05,-9.261571266e-05
1759,5.7836539560799,239.1041973,1.048910069e-05,-9.6095595e-05
1760,5.7912740536908345,239.4192226,9.414707318e-06,-9.922944433e-05
1761,5.798894151301769,239.7342479,8.387447023e-06,-0.0001020322862
1762,5.806514248912704,240.0492732,7.406191705e-06,-0.0001045187912
1763,5.814134346523639,240.3642985,6.469812549e-06,-0.000106703274
1764,5.821754444134574,240.6793238,5.577181242e-06,-0.0001085996942
1765,5.829374541745509,240.9943491,4.72717116e-06,-0.0001102216559
1766,5.836994639356444,241.3093744,3.918658498e-06,-0.0001115824088
1767,5.844614736967379,241.6243997,3.150523369e-06,-0.000112694849
1768,5.852234834578314,241.939425,2.421650849e-06,-0.0001135715207
1769,5.859854932189249,242.2544503,1.730931984e-06,-0.0001142246179
1770,5.867475029800184,242.5694756,1.077264759e-06,-0.0001146659862
1771,5.875095124992235,242.8845008,4.595550159e-07,-0.000114907125
1772,5.88271522260317,243.1995261,-1.232826631e-07,-0.0001149591909
1773,5.890335320214104,243.5145514,-6.723241163e-07,-0.0001148329996
1774,5.897955417825039,243.8295767,-1.188634804e-06,-0.0001145390296
1775,5.905575515435975,244.144602,-1.673269051e-06,-0.0001140874258
1776,5.913195613046909,244.4596273,-2.127269325e-06,-0.0001134880023
1777,5.920815710657845,244.7746526,-2.551665563e-06,-0.0001127502471
1778,5.928435808268779,245.0896779,-2.947474527e-06,-0.0001118833258
1779,5.936055905879715,245.4047032,-3.3156992e-06,-0.0001108960856
1780,5.9436760034906495,245.7197285,-3.65732823e-06,-0.0001097970603
1781,5.951296101101585,246.0347538,-3.973335392e-06,-0.0001085944743
1782,5.95891619871252,246.3497791,-4.264679107e-06,-0.0001072962478
1783,5.966536296323455,246.6648044,-4.53230198e-06,-0.0001059100015
1784,5.97415639393439,246.9798297,-4.777130382e-06,-0.0001044430618
1785,5.98177648912644,247.2948549,-5.000074063e-06,-0.0001029024657
1786,5.989396586737375,247.6098802,-5.202025804e-06,-0.0001012949665
1787,5.99701668434831,247.9249055,-5.383861091e-06,-9.962703867e-05
1788,6.004636781959245,248.2399308,-5.546437832e-06,-9.79048839e-05
1789,6.01225687957018,248.5549561,-5.690596099e-06,-9.61344363e-05
1790,6.019876977181115,248.8699814,-5.817157903e-06,-9.432136821e-05
1791,6.02749707479205,249.1850067,-5.926926998e-06,-9.247109587e-05
1792,6.035117172402985,249.500032,-6.020688714e-06,-9.058878522e-05
1793,6.04273727001392,249.8150573,-6.099209817e-06,-8.867935774e-05
1794,6.050357367624855,250.1300826,-6.163238401e-06,-8.674749627e-05
1795,6.0579774652357905,250.4451079,-6.213503796e-06,-8.479765096e-05
1796,6.065597562846725,250.7601332,-6.250716518e-06,-8.283404514e-05
1797,6.07321766045766,251.0751585,-6.275568226e-06,-8.08606813e-05
1798,6.080837758068594,251.3901838,-6.288731716e-06,-7.8881347e-05
1799,6.088457853260645,251.705209,-6.29086093e-06,-7.689962083e-05
1800,6.096077950871581,252.0202343,-6.282590997e-06,-7.491887832e-05
1801,6.103698048482515,252.3352596,-6.264538282e-06,-7.29422979e-05
1802,6.111318146093451,252.6502849,-6.237300466e-06,-7.097286675e-05
1803,6.1189382437043855,252.9653102,-6.201456645e-06,-6.901338672e-05
1804,6.126558341315321,253.2803355,-6.157567441e-06,-6.706648013e-05
1805,6.134178438926256,253.5953608,-6.106175141e-06,-6.513459557e-05
1806,6.141798536537191,253.9103861,-6.047803842e-06,-6.322001369e-05
1807,6.149418634148126,254.2254114,-5.982959624e-06,-6.132485287e-05
1808,6.1570387317590605,254.5404367,-5.912130732e-06,-5.945107486e-05
1809,6.164658829369995,254.855462,-5.835787771e-06,-5.76004904e-05
1810,6.172278926980931,255.1704873,-5.754383923e-06,-5.577476473e-05
1811,6.179899024591865,255.4855126,-5.668355169e-06,-5.397542303e-05
1812,6.1875191222028,255.8005379,-5.578120529e-06,-5.220385583e-05
1813,6.195139217394851,256.1155631,-5.48408231e-06,-5.046132427e-05
1814,6.202759315005785,256.4305884,-5.38662637e-06,-4.874896539e-05
1815,6.210379412616721,256.7456137,-5.286122384e-06,-4.706779719e-05
1816,6.2179995102276555,257.060639,-5.182924132e-06,-4.541872375e-05
1817,6.225619607838591,257.3756643,-5.077369781e-06,-4.380254016e-05
1818,6.233239705449526,257.6906896,-4.969782187e-06,-4.22199374e-05
1819,6.24085980306046,258.0057149,-4.860469199e-06,-4.067150711e-05
1820,6.248479900671396,258.3207402,-4.74972397e-06,-3.915774628e-05
1821,6.25609999828233,258.6357655,-4.637825274e-06,-3.767906182e-05
1822,6.263720095893266,258.9507908,-4.525037833e-06,-3.623577503e-05
1823,6.271340193504201,259.2658161,-4.411612641e-06,-3.4828126e-05
1824,6.278960291115136,259.5808414,-4.297787296e-06,-3.345627787e-05
1825,6.286580388726071,259.8958667,-4.183786339e-06,-3.212032099e-05
1826,6.294200486337006,260.210892,-4.069821589e-06,-3.082027699e-05
1827,6.301820583947941,260.5259173,-3.956092487e-06,-2.955610273e-05
1828,6.309440679139991,260.8409425,-3.842786436e-06,-2.832769414e-05
1829,6.317060776750926,261.1559678,-3.730079148e-06,-2.713488997e-05
1830,6.324680874361861,261.4709931,-3.618134988e-06,-2.597747541e-05
1831,6.3323009719727965,261.7860184,-3.507107316e-06,-2.485518562e-05
1832,6.339921069583731,262.1010437,-3.397138838e-06,-2.376770913e-05
1833,6.347541167194667,262.416069,-3.288361945e-06,-2.271469115e-05
1834,6.355161264805601,262.7310943,-3.18089906e-06,-2.169573675e-05
1835,6.362781362416536,263.0461196,-3.074862978e-06,-2.071041397e-05
1836,6.370401460027471,263.3611449,-2.970357203e-06,-1.97582568e-05
1837,6.378021557638406,263.6761702,-2.867476293e-06,-1.883876802e-05
1838,6.385641655249342,263.9911955,-2.766306186e-06,-1.7951422e-05
1839,6.393261752860276,264.3062208,-2.666924537e-06,-1.709566736e-05
1840,6.400881850471212,264.6212461,-2.569401045e-06,-1.627092949e-05
1841,6.408501948082146,264.9362714,-2.473797775e-06,-1.547661306e-05
1842,6.416122043274196,265.2512966,-2.380169481e-06,-1.471210434e-05
1843,6.423742140885132,265.5663219,-2.288563921e-06,-1.397677346e-05
1844,6.4313622384960665,265.8813472,-2.199022168e-06,-1.326997656e-05
1845,6.438982336107002,266.1963725,-2.111578914e-06,-1.259105787e-05
1846,6.446602433717937,266.5113978,-2.026262777e-06,-1.193935164e-05
1847,6.454222531328872,266.8264231,-1.94309659e-06,-1.131418404e-05
1848,6.461842628939807,267.1414484,-1.862097695e-06,-1.071487489e-05
1849,6.469462726550742,267.4564737,-1.783278227e-06,-1.014073942e-05
1850,6.477082824161677,267.771499,-1.706645391e-06,-9.591089772e-06
1851,6.484702921772612,268.0865243,-1.632201735e-06,-9.065236592e-06
1852,6.492323019383547,268.4015496,-1.559945418e-06,-8.562490409e-06
1853,6.499943116994482,268.7165749,-1.489870464e-06,-8.082162993e-06
1854,6.507563214605417,269.0316002,-1.421967023e-06,-7.623568611e-06
1855,6.515183312216352,269.3466255,-1.356221609e-06,-7.186025214e-06
1856,6.522803407408403,269.6616507,-1.292617347e-06,-6.768855541e-06
1857,6.530423505019337,269.976676,-1.2311342e-06,-6.371388152e-06
1858,6.538043602630272,270.2917013,-1.171749201e-06,-5.992958385e-06
1859,6.5456637002412075,270.6067266,-1.114436667e-06,-5.632909246e-06
1860,6.553283797852142,270.9217519,-1.059168412e-06,-5.290592235e-06
1861,6.560903895463078,271.2367772,-1.005913957e-06,-4.965368095e-06
1862,6.568523993074012,271.5518025,-9.546407216e-07,-4.656607506e-06
1863,6.576144090684948,271.8668278,-9.053142205e-07,-4.363691719e-06
1864,6.583764188295882,272.1818531,-8.57898245e-07,-4.086013124e-06
1865,6.591384285906818,272.4968784,-8.123550419e-07,-3.822975766e-06
1866,6.5990043835177525,272.8119037,-7.686454829e-07,-3.573995802e-06
1867,6.606624481128688,273.126929,-7.267292291e-07,-3.338501913e-06
1868,6.614244578739623,273.4419543,-6.865648874e-07,-3.115935657e-06
1869,6.621864676350557,273.7569796,-6.481101608e-07,-2.905751777e-06
1870,6.629484771542608,274.0720048,-6.113219913e-07,-2.707418465e-06
1871,6.637104869153543,274.3870301,-5.76156697e-07,-2.520417581e-06
1872,6.644724966764478,274.7020554,-5.425701023e-07,-2.344244823e-06
1873,6.652345064375413,275.0170807,-5.105176613e-07,-2.17840987e-06
1874,6.6599651619863485,275.332106,-4.799545757e-07,-2.022436476e-06
1875,6.667585259597283,275.6471313,-4.508359055e-07,-1.875862532e-06
1876,6.675205357208218,275.9621566,-4.231166741e-07,-1.738240097e-06
1877,6.682825454819153,276.2771819,-3.967519674e-07,-1.609135388e-06
1878,6.690445552430088,276.5922072,-3.71697027e-07,-1.488128752e-06
1879,6.698065650041023,276.9072325,-3.479073373e-07,-1.374814598e-06
1880,6.705685747651958,277.2222578,-3.253387073e-07,-1.26880131e-06
1881,6.7133058452628935,277.5372831,-3.039473467e-07,-1.169711133e-06
1882,6.720925942873828,277.8523084,-2.836899368e-07,-1.077180033e-06
1883,6.728546040484762,278.1673337,-2.645236963e-07,-9.908575421e-07
1884,6.736166135676814,278.4823589,-2.464064414e-07,-9.104065736e-07
1885,6.743786233287748,278.7973842,-2.292966416e-07,-8.355032305e-07
1886,6.751406330898684,279.1124095,-2.131534708e-07,-7.658365887e-07
1887,6.759026428509618,279.4274348,-1.97936853e-07,-7.011084682e-07
1888,6.766646526120554,279.7424601,-1.836075044e-07,-6.410331906e-07
1889,6.774266623731489,280.0574854,-1.701269707e-07,-5.853373228e-07
1890,6.781886721342424,280.3725107,-1.574576602e-07,-5.337594109e-07
1891,6.789506818953359,280.687536,-1.455628733e-07,-4.860497035e-07
1892,6.797126916564293,281.0025613,-1.344068279e-07,-4.419698665e-07
1893,6.804747014175229,281.3175866,-1.23954681e-07,-4.012926909e-07
1894,6.812367111786163,281.6326119,-1.141725469e-07,-3.638017935e-07
1895,6.819987209397097,281.9476372,-1.050275121e-07,-3.292913135e-07
1896,6.827607307008033,282.2626625,-9.648764694e-08,-2.975656036e-07
1897,6.835227404618967,282.5776878,-8.852201408e-08,-2.684389192e-07
1898,6.842847499811019,282.892713,-8.110067419e-08,-2.417351049e-07
1899,6.850467597421954,283.2077383,-7.419468883e-08,-2.172872789e-07
1900,6.858087695032889,283.5227636,-6.777612077e-08,-1.949375183e-07
1901,6.865707792643824,283.8377889,-6.18180318e-08,-1.745365436e-07
1902,6.873327890254759,284.1528142,-5.629447827e-08,-1.559434047e-07
1903,6.880947987865694,284.4678395,-5.118050447e-08,-1.390251687e-07
1904,6.88856808547663,284.7828648,-4.645213396e-08,-1.236566097e-07
1905,6.896188183087563,285.0978901,-4.208635901e-08,-1.097199022e-07
1906,6.903808280698498,285.4129154,-3.806112837e-08,-9.71043178e-08
1907,6.9114283783094335,285.7279407,-3.435533331e-08,-8.570592581e-08
1908,6.919048475920368,286.042966,-3.094879227e-08,-7.542729892e-08
1909,6.926668573531303,286.3579913,-2.782223409e-08,-6.617722367e-08
1910,6.934288671142238,286.6730166,-2.495728004e-08,-5.787041644e-08
1911,6.941908768753173,286.9880419,-2.233642473e-08,-5.042724532e-08
1912,6.949528863945225,287.3030671,-1.994301598e-08,-4.377345807e-08
1913,6.95714896155616,287.6180924,-1.776123386e-08,-3.783991667e-08
1914,6.964769059167095,287.9331177,-1.577606894e-08,-3.256233856e-08
1915,6.972389156778029,288.248143,-1.397329979e-08,-2.788104478e-08
1916,6.980009254388963,288.5631683,-1.233947001e-08,-2.374071538e-08
1917,6.987629351999899,288.8781936,-1.086186471e-08,-2.009015209e-08
1918,6.995249449610833,289.1932189,-9.528486637e-09,-1.688204851e-08
1919,7.002869547221769,289.5082442,-8.328031995e-09,-1.407276777e-08
1920,7.010489644832703,289.8232695,-7.249866039e-09,-1.162212798e-08
1921,7.018109742443639,290.1382948,-6.283998559e-09,-9.493195306e-09
1922,7.025729840054574,290.4533201,-5.42105929e-09,-7.652084763e-09
1923,7.033349937665509,290.7683454,-4.652273348e-09,-6.067768829e-09
1924,7.040970035276444,291.0833707,-3.969436743e-09,-4.711893723e-09
1925,7.048590132887378,291.398396,-3.364892045e-09,-3.558603402e-09
1926,7.056210230498314,291.7134213,-2.831504255e-09,-2.584371189e-09
1927,7.063830325690364,292.0284465,-2.36263694e-09,-1.767838956e-09
1928,7.071450423301299,292.3434718,-1.952128689e-09,-1.089663788e-09
1929,7.079070520912234,292.6584971,-1.59426993e-09,-5.323719929e-10
1930,7.0866906185231695,292.9735224,-1.283780156e-09,-8.022036519e-11
1931,7.094310716134104,293.2885477,-1.015785608e-09,2.809354562e-10
1932,7.101930813745039,293.603573,-7.857974404e-10,5.637656699e-10
1933,7.109550911355974,293.9185983,-5.896904101e-10,7.795841991e-10
1934,7.117171008966909,294.2336236,-4.236821169e-10,9.384599503e-10
1935,7.124791106577844,294.5486489,-2.843128242e-10,1.049321624e-09
1936,7.132411204188779,294.8636742,-1.684258812e-10,1.120056262e-09
1937,7.140031301799715,295.1786995,-7.314876744e-11,1.157601725e-09
1938,7.147651399410649,295.4937248,4.125222122e-12,1.168033297e-09
1939,7.155271497021585,295.8087501,6.575463868e-11,1.156644629e-09
1940,7.162891594632519,296.1237754,1.138668756e-10,1.128023215e-09
1941,7.170511689824569,296.4388006,1.503744911e-10,1.086120624e-09
1942,7.178131787435505,296.7538259,1.769908506e-10,1.034317699e-09
1943,7.1857518850464395,297.0688512,1.95245088e-10,9.754849335e-10
1944,7.193371982657375,297.3838765,2.064963812e-10,9.120382385e-10
1945,7.20099208026831,297.6989018,2.119475481e-10,8.459903279e-10
1946,7.208612177879245,298.0139271,2.126579621e-10,7.789979217e-10
1947,7.21623227549018,298.3289524,2.095557968e-10,7.124049888e-10
1948,7.223852373101114,298.6439777,2.03449605e-10,6.472822371e-10
1949,7.23147247071205,298.959003,1.95039243e-10,5.844630591e-10
1950,7.2390925683229845,299.2740283,1.849261507e-10,5.245761384e-10
1951,7.24671266593392,299.5890536,1.736230011e-10,4.680749167e-10
1952,7.254332763544855,299.9040789,1.615627324e-10,4.152641194e-10
1953,7.26195286115579,300.2191042,1.491069793e-10,3.663235299e-10
1954,7.269572958766725,300.5341295,1.365539203e-10,3.213292013e-10
1955,7.277193053958775,300.8491547,1.24145558e-10,2.802722851e-10
1956,7.28481315156971,301.16418,1.12074452e-10,2.430756538e-10
1957,7.292433249180645,301.4792053,1.00489924e-10,2.09608485e-10
1958,7.3000533467915805,301.7942306,8.950375609e-11,1.796989725e-10
1959,7.307673444402515,302.1092559,7.919540143e-11,1.531453186e-10
1960,7.315293542013451,302.4242812,6.961673137e-11,1.297251591e-10
1961,7.322913639624385,302.7393065,6.079633908e-11,1.092035629e-10
1962,7.330533737235321,303.0543318,5.274342293e-11,9.133974304e-11
1963,7.338153834846255,303.3693571,4.545127153e-11,7.589260705e-11
1964,7.345773932457191,303.6843824,3.890037338e-11,6.262526992e-11
1965,7.3533940300681255,303.9994077,3.30611733e-11,5.130864317e-11
1966,7.36101412767906,304.314433,2.789649832e-11,4.172420836e-11
1967,7.368634225289996,304.6294583,2.33636751e-11,3.366607557e-11
1968,7.37625432290093,304.9444836,1.941636096e-11,2.694242053e-11
1969,7.383874418092981,305.2595088,1.60061101e-11,2.137638716e-11
1970,7.391494515703916,305.5745341,1.308369621e-11,1.680653568e-11
1971,7.39911461331485,305.8895594,1.060021217e-11,1.308690969e-11
1972,7.406734710925786,306.2045847,8.50796698e-12,1.008678924e-11
1973,7.414354808536721,306.51961,6.761199515e-12,7.690190777e-12
1974,7.421974906147656,306.8346353,5.316627789e-12,5.795168569e-12
1975,7.429595003758591,307.1496606,4.13385198e-12,4.31296664e-12
1976,7.437215101369526,307.4646859,3.175628472e-12,3.167064476e-12
1977,7.444835198980461,307.7797112,2.408031429e-12,2.292154548e-12
1978,7.452455296591396,308.0947365,1.800517543e-12,1.633084589e-12
1979,7.460075394202331,308.4097618,1.325908703e-12,1.143792768e-12
1980,7.4676954918132665,308.7247871,9.603064062e-13,7.862594323e-13
1981,7.475315589424201,309.0398124,6.829508032e-13,5.29494861e-13
1982,7.482935687035137,309.3548377,4.760362705e-13,3.485785629e-13
1983,7.490555782227187,309.6698629,3.244944676e-13,2.237620749e-13
1984,7.498175879838121,309.9848882,2.157548207e-13,1.396439054e-13
1985,7.505795977449057,310.2999135,1.39491396e-13,8.442229708e-14
1986,7.513416075059991,310.6149388,8.73641363e-14,4.922881575e-14
1987,7.521036172670927,310.9299641,5.2761447e-14,2.75434138e-14
1988,7.528656270281862,311.2449894,3.055014779e-14,1.4689570870000002e-14
1989,7.536276367892796,311.5600147,1.683784308e-14,7.40637013e-15
1990,7.543896465503732,311.87504,8.75182538e-15,3.492925518e-15
1991,7.551516563114666,312.1900653,4.237706859e-15,1.51942468e-15
1992,7.559136660725602,312.5050906,1.88008337e-15,5.981866488e-16
1993,7.5667567583365365,312.8201159,7.466749310999999e-16,2.0754398959999998e-16
1994,7.574376855947472,313.1351412,2.5656129200000003e-16,6.103505426999999e-17
1995,7.581996953558407,313.4501665,7.234407367e-17,1.4322219199999998e-17
1996,7.589617051169342,313.7651918,1.532184446e-17,2.423546951e-18
1997,7.597237146361392,314.080217,2.064522463e-18,2.4462774e-19
1998,7.604857243972327,314.3952423,1.219174062e-19,9.620224911e-21
1999,7.612477341583262,314.7102676,9.606148064e-22,3.7861921489999997e-23
2000,7.620097439194197,315.0252929,4.950258567e-99,1.771132002e-111
